Date,FB,JPM,BP
6/7/2021,0.018858728,-0.004686304,-0.006559727
6/8/2021,-0.008616062,-0.003984099,0.017241427
6/9/2021,-0.010279289,-0.012484885,-0.005048723
6/10/2021,0.006691873,-0.015588651,-0.002899667
6/11/2021,-0.0036094,-0.000685761,0.001090575
6/14/2021,0.016633396,-0.016969122,0.018155369
6/15/2021,-5.93551E-05,-0.015168012,0.012125514
6/16/2021,-0.016837455,0.007024216,-0.015856195
6/17/2021,0.01640094,-0.028860494,-0.026852823
6/18/2021,-0.020356024,-0.025303051,-0.039735121
6/21/2021,0.007977932,0.016968684,0.032183842
6/22/2021,0.020283457,-0.001462422,0.007795123
6/23/2021,0.004601354,0.00605822,0.00294666
6/24/2021,0.007604442,0.009197864,0.003305063
6/25/2021,-0.005274194,0.010097724,0
6/28/2021,0.041802209,0.001817629,-0.031478689
6/29/2021,-0.01054437,-0.001231122,-0.007180617
6/30/2021,-0.01187878,0.009082648,0.005709828
7/1/2021,0.019211481,0.009901014,0.024981132
7/2/2021,0.000874734,-0.000960404,-0.003692731
7/6/2021,-0.005413062,-0.016791654,-0.037435216
7/7/2021,-0.006491323,0.001173229,-0.009241363
7/8/2021,-0.013809227,-0.017253671,-0.005829822
7/9/2021,0.013800142,0.03199946,0.016809984
7/12/2021,0.007819162,0.014315946,-0.004998032
7/13/2021,-0.003029811,-0.014873421,-0.011591985
7/14/2021,-0.01266719,-0.003405047,-0.013682551
7/15/2021,-0.009118931,0.002191873,-0.022988493
7/16/2021,-0.009580175,-0.022835427,-0.031642962
7/19/2021,-0.012340227,-0.032519333,-0.032677045
7/20/2021,0.013978311,0.018643312,0.000866151
7/21/2021,0.013375891,0.021040655,0.034617072
7/22/2021,0.014325711,-0.01262596,-0.011710673
7/23/2021,0.052962803,-0.001921411,-0.003808585
7/26/2021,0.007220265,0.006704738,0.033559865
7/27/2021,-0.012484544,-0.001318816,-0.003288026
7/28/2021,0.014871812,0.001650624,0.00618545
7/29/2021,-0.040077133,0.008569655,0.009426231
7/30/2021,-0.005637472,-0.007973904,-0.018270354
8/2/2021,-0.012208746,-0.004019006,-0.004135614
8/3/2021,-0.002017394,0.011378011,0.066860341
8/4/2021,0.021865457,-0.010792051,-0.024523153
8/5/2021,0.011283818,0.012628873,0.011173273
8/6/2021,0.001487751,0.028403471,0.008681877
8/9/2021,-0.005226885,-0.001079225,-0.010954622
8/10/2021,-0.001327342,0.012267036,0.023734182
8/11/2021,-0.003239869,0.011930266,0.007341623
8/12/2021,0.007473061,0.003909083,-0.002797028
8/13/2021,0.001461461,-0.011187241,-0.017530212
8/16/2021,0.009306694,-0.00656341,-0.019429026
8/17/2021,-0.02212458,-0.012080773,0.00161753
8/18/2021,-0.008369368,-0.009107694,-0.016956001
8/19/2021,-0.000928448,-0.008355741,-0.032443518
8/20/2021,0.011967786,0.002851921,0.003395541
8/23/2021,0.011074967,0.012797264,0.031725811
8/24/2021,0.005944692,0.006190206,0.010660199
8/25/2021,0.007879415,0.020612696,-0.000811328
8/26/2021,-0.01088523,0.005157857,-0.013398338
8/27/2021,0.022641198,0.008037102,0.026337442
8/30/2021,0.021549523,-0.01600742,-0.009623052
8/31/2021,-0.003362578,-0.003054096,-0.009716638
9/1/2021,0.007037754,-0.001437879,-0.006132496
9/2/2021,-0.017720165,0.004633116,0.021801792
9/3/2021,0.002611413,-0.006045152,-0.002415407
9/7/2021,0.015733755,-0.001755548,-0.007667569
9/8/2021,-0.012062343,-0.004459594,-0.006913342
9/9/2021,0.001138843,0.004353393,-0.004504561
9/10/2021,0.001825402,-0.011495772,0.007815728
9/13/2021,-0.005756666,0.015887114,0.022040926
9/14/2021,5.30902E-05,-0.017452746,-0.015575151
9/15/2021,-0.006931681,0.006939656,0.045436135
9/16/2021,-0.002299997,-0.000442704,-0.01668604
9/17/2021,-0.022355645,-0.002593492,-0.003946419
9/20/2021,-0.02473127,-0.029933944,-0.016244058
9/21/2021,0.005004214,0.000130742,0.016109583
9/22/2021,-0.039918372,0.019152828,0.016646774
9/23/2021,0.008012587,0.033801409,0.019883132
9/24/2021,0.020233554,0.011540003,0.003058103
9/27/2021,0.001756562,0.024165864,0.032012167
9/28/2021,-0.036568792,-0.005389887,0.00590838
9/29/2021,-0.003053013,-0.000782741,-0.004772341
9/30/2021,-0.000647714,-0.013618562,0.008115037
10/1/2021,0.01066618,0.021015409,0.009879303
10/4/2021,-0.048919852,-0.001077104,0.014855036
10/5/2021,0.020629555,0.016330283,0.014637631
10/6/2021,0.002042359,0.002134436,-0.010907733
10/7/2021,-0.013247853,0.006330549,0.004268815
10/8/2021,0.002521071,0.000764311,0.022671058
10/11/2021,-0.01393721,-0.02103162,0.00796667
10/12/2021,-0.005162154,-0.007681204,0
10/13/2021,0.002378293,-0.026366678,0.003092822
10/14/2021,0.012294293,0.015341579,0.008907166
10/15/2021,-0.011475326,0.019208427,0.016298807
10/18/2021,0.03257786,-0.000360059,-0.007350576
10/19/2021,0.013866506,0.012128502,0.005048903
10/20/2021,0.002323624,0.013466093,0.009042173
10/21/2021,0.003227907,-0.00784351,-0.022900745
10/22/2021,-0.050514858,0.013451257,0.002377712
10/25/2021,0.012568982,-0.004889953,0.006777275
10/26/2021,-0.039185871,0.002691008,-0.002356036
10/27/2021,-0.011367585,-0.020828428,-0.013157887
10/28/2021,0.015053526,0.015074765,-0.001025654
10/29/2021,0.020983194,-0.002758919,-0.014715922
11/1/2021,0.019810254,-0.000529744,0.017019798
11/2/2021,-0.005757997,0.003945861,-0.045765006
11/3/2021,0.010790076,0.000351906,-0.024337878
11/4/2021,0.012755597,-0.013135525,0.001834137
11/5/2021,0.015721301,-0.001426026,0.019772963
11/8/2021,-0.007357928,0.006010026,0.006104169
11/9/2021,-0.009597779,-0.007571252,0.006423954
11/10/2021,-0.02304911,-0.000953608,-0.016216975
11/11/2021,0.000305137,-5.96142E-05,-0.000364697
11/12/2021,0.040123346,-0.004474756,-0.001094526
11/15/2021,0.019566378,-0.001797851,0.006208939
11/16/2021,-0.013235145,-0.007204648,0.00435571
11/17/2021,-0.00638559,-0.005382148,-0.008673641
11/18/2021,-0.006103786,-0.00863383,-0.005103893
11/19/2021,0.01951633,-0.013063487,-0.038842119
11/22/2021,-0.012423916,0.02131503,0.016393496
11/23/2021,-0.011026099,0.023912299,0.030007419
11/24/2021,0.011297251,-0.007844064,0.006919182
11/26/2021,-0.02328037,-0.030126982,-0.061121141
11/29/2021,0.014739445,-0.004322867,0.008474603
11/30/2021,-0.04014439,-0.01488555,-0.008403387
12/1/2021,-0.042717085,-0.005918296,-0.008474564
12/2/2021,-0.000676082,0.021027387,0.051282053
12/3/2021,-0.011437285,-0.018113129,-0.005543266
12/6/2021,0.035947071,0.011813851,0.015607596
12/7/2021,0.015540954,0.015047482,0.007683963
12/8/2021,0.024007931,-0.01144126,-0.001452541
12/9/2021,-0.002238598,-0.001555557,-0.012363581
12/10/2021,-0.000212258,-0.003988523,0.009204699
12/13/2021,0.014374496,-0.011888525,-0.029916118
12/14/2021,-0.00224222,0.007662202,-0.001504361
12/15/2021,0.023731091,-0.007478147,0.002636645
12/16/2021,-0.019785781,0.015638807,0.004132149
12/17/2021,-0.003314377,-0.022754276,-0.01608677
12/20/2021,-0.02498576,-0.017989155,-0.024714869
12/21/2021,0.026885849,0.013966399,0.030409431
12/22/2021,-0.011220825,0.003908025,0.012864112
12/23/2021,0.014495318,0.003573661,0.007471001
12/27/2021,0.032633347,0.005723107,0.006303328
12/28/2021,0.00011557,0.003034819,-0.002579178
12/29/2021,-0.009473742,-0.000504227,-0.002955259
12/30/2021,0.004140616,-0.000504571,-0.011115248
12/31/2021,-0.023260481,-0.000820208,-0.002248067
